MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2006-03-03,South Africa,Australia,Newlands,South Africa,bat,South Africa
2015-03-01,Pakistan,Zimbabwe,"Brisbane Cricket Ground, Woolloongabba",Pakistan,bat,Pakistan
2015-01-25,New Zealand,Sri Lanka,University Oval,New Zealand,bat,New Zealand
2019-02-14,South Africa,Sri Lanka,Senwes Park,Sri Lanka,field,South Africa
2008-02-15,New Zealand,England,Eden Park,England,field,England
2016-11-18,Australia,South Africa,Manuka Oval,South Africa,bat,Australia
2010-06-24,England,Australia,Sophia Gardens,Australia,bat,England
2014-02-28,India,Sri Lanka,Khan Shaheb Osman Ali Stadium,Sri Lanka,field,Sri Lanka
2024-09-24,United States of America,United Arab Emirates,"United Cricket Club Ground, Windhoek",United Arab Emirates,field,United States of America
2013-10-30,Pakistan,South Africa,Sharjah Cricket Stadium,South Africa,bat,South Africa
2018-10-29,India,West Indies,Brabourne Stadium,India,bat,India
2020-01-07,West Indies,Ireland,"Kensington Oval, Barbados",Ireland,bat,West Indies
2005-10-28,Sri Lanka,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,field,India
2023-07-16,Australia,England,"The Rose Bowl, Southampton",England,field,Australia
2019-09-11,West Indies,Australia,"Sir Vivian Richards Stadium, Antigua",West Indies,bat,Australia
2011-09-11,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,bat,Pakistan
2013-02-05,India,Sri Lanka,Brabourne Stadium,Sri Lanka,bat,Sri Lanka
2012-03-08,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,field,Australia
2017-02-05,New Zealand,Australia,Seddon Park,New Zealand,bat,New Zealand
2003-04-07,Sri Lanka,Zimbabwe,Sharjah Cricket Association Stadium,Sri Lanka,bat,Zimbabwe
2021-04-04,South Africa,Pakistan,The Wanderers Stadium,Pakistan,field,South Africa
2019-06-20,Australia,Bangladesh,Trent Bridge,Australia,bat,Australia
2014-10-17,India,West Indies,Himachal Pradesh Cricket Association Stadium,West Indies,field,India
2006-09-18,South Africa,Zimbabwe,Buffalo Park,Zimbabwe,bat,South Africa
2019-06-01,New Zealand,Sri Lanka,Sophia Gardens,New Zealand,field,New Zealand
2007-02-04,Bermuda,Netherlands,Ruaraka Sports Club Ground,Netherlands,field,Netherlands
2016-06-07,Australia,South Africa,Providence Stadium,South Africa,bat,South Africa
2015-09-13,England,Australia,Old Trafford,England,bat,Australia
2013-12-27,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Pakistan,bat,Sri Lanka
2003-02-28,Sri Lanka,West Indies,"Newlands, Cape Town",Sri Lanka,bat,Sri Lanka
2007-07-23,Sri Lanka,Bangladesh,R Premadasa Stadium,Sri Lanka,field,Sri Lanka
2009-11-03,Bangladesh,Zimbabwe,Zohur Ahmed Chowdhury Stadium,Zimbabwe,bat,Bangladesh
2010-03-10,West Indies,Zimbabwe,"Arnos Vale Ground, Kingstown",Zimbabwe,field,West Indies
2014-12-13,Sri Lanka,England,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka
2012-02-26,Australia,India,Sydney Cricket Ground,Australia,bat,Australia
2008-06-25,Bangladesh,Sri Lanka,Gaddafi Stadium,Bangladesh,field,Sri Lanka
2022-02-15,India,New Zealand,"John Davies Oval, Queenstown",India,bat,New Zealand
2021-07-23,India,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat,Sri Lanka
2022-10-06,South Africa,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",India,field,South Africa
2007-01-22,South Africa,Pakistan,Harlequins,Pakistan,field,South Africa
2015-09-08,England,Australia,Old Trafford,England,bat,England
2009-11-05,India,Australia,"Rajiv Gandhi International Stadium, Uppal",Australia,bat,Australia
2024-01-18,Zimbabwe,Ireland,Harare Sports Club,Ireland,field,Ireland
2018-03-10,Zimbabwe,Hong Kong,Queens Sports Club,Hong Kong,field,Zimbabwe
2013-01-31,India,West Indies,Brabourne Stadium,West Indies,field,India
2024-11-11,Oman,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,field,Oman
2019-08-17,Scotland,Papua New Guinea,Mannofield Park,Scotland,field,Scotland
2007-12-07,Zimbabwe,West Indies,Queens Sports Club,West Indies,field,West Indies
2017-03-02,United Arab Emirates,Ireland,ICC Global Cricket Academy,United Arab Emirates,field,Ireland
2021-05-23,Bangladesh,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh
2023-07-06,United Arab Emirates,United States of America,"Takashinga Sports Club, Highfield, Harare",United Arab Emirates,bat,United Arab Emirates
2022-09-21,India,England,"St Lawrence Ground, Canterbury",England,field,India
2019-03-22,Australia,Pakistan,Sharjah Cricket Stadium,Pakistan,bat,Australia
2011-01-31,Sri Lanka,West Indies,Sinhalese Sports Club Ground,West Indies,bat,No Result
2011-08-16,Zimbabwe,Bangladesh,Harare Sports Club,Bangladesh,field,Zimbabwe
2006-01-03,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
2011-10-25,India,England,Eden Gardens,England,field,India
2003-05-30,Australia,West Indies,"Queen's Park (New), St George's, Grenada",Australia,bat,West Indies
2013-03-17,South Africa,Pakistan,New Wanderers Stadium,Pakistan,field,South Africa
2015-08-27,Ireland,Australia,"Civil Service Cricket Club, Stormont",Australia,bat,Australia
2023-06-21,United Arab Emirates,Oman,Bulawayo Athletic Club,Oman,field,Oman
2009-09-11,India,New Zealand,R Premadasa Stadium,New Zealand,bat,India
2019-05-11,Ireland,West Indies,"The Village, Malahide",Ireland,bat,West Indies
2018-10-03,South Africa,Zimbabwe,Mangaung Oval,South Africa,bat,South Africa
2014-09-06,Australia,South Africa,Harare Sports Club,South Africa,field,South Africa
2016-10-20,India,New Zealand,Feroz Shah Kotla,India,field,New Zealand
2019-05-15,Ireland,Bangladesh,Castle Avenue,Ireland,bat,Bangladesh
2007-10-02,India,Australia,Nehru Stadium,India,field,Australia
2017-09-21,England,West Indies,Trent Bridge,West Indies,field,No Result
2016-06-19,Australia,South Africa,"Kensington Oval, Bridgetown",Australia,field,No Result
2022-11-20,United States of America,Namibia,"Wanderers Cricket Ground, Windhoek",Namibia,field,United States of America
2006-06-17,England,Sri Lanka,Lord's,England,field,Sri Lanka
2007-11-25,South Africa,New Zealand,Kingsmead,South Africa,field,South Africa
2005-08-29,India,Zimbabwe,Harare Sports Club,Zimbabwe,field,India
2023-10-06,Pakistan,Netherlands,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,field,Pakistan
2023-01-15,India,Sri Lanka,"Greenfield International Stadium, Thiruvananthapuram",India,bat,India
2003-02-11,Australia,Pakistan,"New Wanderers Stadium, Johannesburg",Pakistan,field,Australia
2018-03-06,West Indies,United Arab Emirates,Old Hararians,West Indies,bat,West Indies
2023-04-29,United Arab Emirates,Oman,Mulpani Cricket Ground,Oman,field,United Arab Emirates
2023-11-01,South Africa,New Zealand,"Maharashtra Cricket Association Stadium, Pune",New Zealand,field,South Africa
2010-08-22,Sri Lanka,India,Rangiri Dambulla International Stadium,India,bat,Sri Lanka
2006-02-20,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
2021-03-23,India,England,Maharashtra Cricket Association Stadium,England,field,India
2007-02-04,Kenya,Scotland,Gymkhana Club Ground,Scotland,bat,Scotland
2013-08-27,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,bat,Zimbabwe
2021-02-28,England,New Zealand,University Oval,England,bat,New Zealand
2011-03-26,Sri Lanka,England,R Premadasa Stadium,England,bat,Sri Lanka
2004-03-21,Pakistan,India,Gaddafi Stadium,Pakistan,bat,India
2023-10-21,Netherlands,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Netherlands,bat,Sri Lanka
2007-02-09,Australia,England,Melbourne Cricket Ground,Australia,bat,England
2009-03-27,West Indies,England,"Kensington Oval, Bridgetown",West Indies,field,West Indies
2014-11-14,Australia,South Africa,Western Australia Cricket Association Ground,South Africa,field,Australia
2023-06-25,Sri Lanka,Ireland,"Queens Sports Club, Bulawayo",Ireland,field,Sri Lanka
2022-07-19,South Africa,England,"Riverside Ground, Chester-le-Street",South Africa,bat,South Africa
2023-01-13,Pakistan,New Zealand,"National Stadium, Karachi",Pakistan,bat,New Zealand
2009-06-29,England,Australia,County Ground,Australia,bat,England
2016-02-27,South Africa,West Indies,Buffalo Park,West Indies,bat,West Indies
2014-01-01,New Zealand,West Indies,Queenstown Events Centre,West Indies,field,New Zealand
2020-02-11,New Zealand,India,Bay Oval,New Zealand,field,New Zealand
2007-07-14,Ireland,West Indies,Clontarf Cricket Club Ground,Ireland,bat,No Result
2007-10-20,Kenya,Canada,Gymkhana Club Ground,Canada,bat,Kenya
2015-02-27,South Africa,West Indies,Sydney Cricket Ground,South Africa,bat,South Africa
2011-02-06,Australia,England,Western Australia Cricket Association Ground,Australia,bat,Australia
2008-05-11,India,Sri Lanka,Welagedara Stadium,India,bat,India
2013-10-29,Bangladesh,New Zealand,Shere Bangla National Stadium,New Zealand,field,Bangladesh
2010-06-24,Sri Lanka,India,Rangiri Dambulla International Stadium,India,bat,India
2022-02-06,West Indies,India,"Narendra Modi Stadium, Ahmedabad",India,field,India
2014-11-28,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,bat,Bangladesh
2019-01-22,South Africa,Pakistan,Kingsmead,South Africa,field,South Africa
2024-01-11,Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Zimbabwe,bat,Sri Lanka
2003-02-26,Bangladesh,New Zealand,"De Beers Diamond Oval, Kimberley",Bangladesh,bat,New Zealand
2004-05-19,Bangladesh,West Indies,National Cricket Stadium,Bangladesh,bat,West Indies
2005-10-09,Australia,ICC World XI,Docklands Stadium,Australia,bat,Australia
2006-12-16,Pakistan,West Indies,National Stadium,Pakistan,field,Pakistan
2015-11-11,England,Pakistan,Sheikh Zayed Stadium,England,bat,Pakistan
2009-03-03,New Zealand,India,McLean Park,India,bat,India
2005-01-30,Australia,Pakistan,W.A.C.A. Ground,Australia,bat,Pakistan
2003-03-11,Australia,New Zealand,"St George's Park, Port Elizabeth",New Zealand,field,Australia
2009-07-28,West Indies,Bangladesh,"Windsor Park, Roseau",West Indies,bat,Bangladesh
2011-01-21,South Africa,India,St George's Park,South Africa,bat,South Africa
2012-01-14,South Africa,Sri Lanka,Buffalo Park,South Africa,field,South Africa
2013-07-17,Ireland,Pakistan,"Observatory Lane, Rathmines",Pakistan,bat,Pakistan
2016-11-25,Zimbabwe,West Indies,Queens Sports Club,Zimbabwe,bat,Zimbabwe
2007-03-18,Australia,Netherlands,"Warner Park, Basseterre",Australia,bat,Australia
2013-06-17,Australia,Sri Lanka,Kennington Oval,Australia,field,Sri Lanka
2017-05-05,England,Ireland,County Ground,Ireland,bat,England
2019-11-03,West Indies,India,"Sir Vivian Richards Stadium, Antigua",India,bat,India
2013-02-11,New Zealand,West Indies,Brabourne Stadium,New Zealand,field,West Indies
2024-04-21,Pakistan,West Indies,"National Stadium, Karachi",Pakistan,bat,West Indies
2017-06-24,New Zealand,Sri Lanka,County Ground,New Zealand,field,New Zealand
2004-01-29,Australia,Zimbabwe,Melbourne Cricket Ground,Zimbabwe,field,No Result
2024-02-07,South Africa,Australia,"North Sydney Oval, Sydney",Australia,field,South Africa
2023-09-08,South Africa,Pakistan,"National Stadium, Karachi",South Africa,bat,South Africa
2006-04-12,India,England,Keenan Stadium,India,bat,England
2022-03-29,Australia,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,Australia
2011-09-19,Ireland,Canada,Clontarf Cricket Club Ground,Canada,field,Ireland
2017-01-19,Australia,Pakistan,Western Australia Cricket Association Ground,Australia,field,Australia
2007-12-14,Australia,New Zealand,Adelaide Oval,New Zealand,bat,Australia
2022-08-17,Scotland,United States of America,"Mannofield Park, Aberdeen",United States of America,field,United States of America
2009-12-21,India,Sri Lanka,Barabati Stadium,Sri Lanka,bat,India
2011-01-23,Australia,England,Sydney Cricket Ground,England,bat,Australia
2015-02-16,Ireland,West Indies,Saxton Oval,Ireland,field,Ireland
2019-12-09,England,Pakistan,Kinrara Academy Oval,England,bat,England
2019-05-12,South Africa,Pakistan,Willowmoore Park,Pakistan,field,No Result
2022-07-07,India,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,field,India
2012-07-14,West Indies,New Zealand,"Warner Park, Basseterre",West Indies,bat,West Indies
2023-04-29,Sri Lanka,Bangladesh,"P Sara Oval, Colombo",Sri Lanka,bat,No Result
2017-06-05,Australia,Bangladesh,Kennington Oval,Bangladesh,bat,No Result
2023-12-20,Bangladesh,New Zealand,"Saxton Oval, Nelson",New Zealand,field,New Zealand
2023-04-21,Nepal,Oman,"Tribhuvan University International Cricket Ground, Kirtipur",Oman,field,Nepal
2004-02-06,India,Australia,Melbourne Cricket Ground,India,bat,Australia
2017-06-14,England,Pakistan,Sophia Gardens,Pakistan,field,Pakistan
2022-06-17,England,Netherlands,"VRA Ground, Amstelveen",Netherlands,field,England
2021-09-16,South Africa,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,field,South Africa
2019-06-09,Australia,India,Kennington Oval,India,bat,India
2007-02-11,India,Sri Lanka,Madhavrao Scindia Cricket Ground,India,field,Sri Lanka
2009-11-27,South Africa,England,Newlands,South Africa,bat,South Africa
2015-03-01,England,Sri Lanka,Westpac Stadium,England,bat,Sri Lanka
2024-06-30,New Zealand,England,"County Ground, New Road, Worcester",England,field,England
2017-07-10,Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe,field,Zimbabwe
2011-12-01,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh,bat,Pakistan
2013-01-22,South Africa,New Zealand,De Beers Diamond Oval,South Africa,field,New Zealand
2023-11-09,Sri Lanka,New Zealand,"M Chinnaswamy Stadium, Bengaluru",New Zealand,field,New Zealand
2023-07-18,England,Australia,"The Cooper Associates County Ground, Taunton",Australia,field,England
2003-01-04,India,New Zealand,"Davies Park, Queenstown",New Zealand,field,New Zealand
2019-07-04,Ireland,Zimbabwe,"Civil Service Cricket Club, Stormont",Zimbabwe,field,Ireland
2012-02-25,New Zealand,South Africa,Westpac Stadium,New Zealand,bat,South Africa
2014-12-01,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,bat,Bangladesh
2024-10-23,Zimbabwe,United States of America,Harare Sports Club,United States of America,field,United States of America
2008-02-05,India,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",India,bat,No Result
2018-01-28,England,Australia,Perth Stadium,Australia,field,England
2018-02-07,India,South Africa,Diamond Oval,South Africa,field,India
2021-10-09,Zimbabwe,Ireland,Harare Sports Club,Zimbabwe,bat,Ireland
2020-09-13,England,Australia,Old Trafford,England,bat,England
2004-02-01,India,Australia,W.A.C.A. Ground,India,bat,Australia
2014-07-06,Sri Lanka,South Africa,R Premadasa Stadium,South Africa,bat,South Africa
2018-08-05,South Africa,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,field,South Africa
2008-08-31,England,South Africa,Lord's,England,field,England
2011-03-04,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,bat,West Indies
2023-07-03,Netherlands,Thailand,"VRA Ground, Amstelveen",Thailand,field,Netherlands
2003-02-12,India,Netherlands,"Boland Bank Park, Paarl",India,bat,India
2013-12-18,Pakistan,Sri Lanka,Sharjah Cricket Stadium,Pakistan,bat,Pakistan
2010-10-17,South Africa,Zimbabwe,Senwes Park,Zimbabwe,bat,South Africa
2018-09-26,Bangladesh,Pakistan,Sheikh Zayed Stadium,Bangladesh,bat,Bangladesh
2024-02-15,Nepal,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",Namibia,field,Namibia
2003-07-06,Zimbabwe,England,"The Royal & Sun Alliance County Ground, Bristol",England,field,England
2017-02-07,South Africa,Sri Lanka,Newlands,South Africa,bat,South Africa
2013-07-11,India,Sri Lanka,"Queen's Park Oval, Port of Spain",India,field,India
2004-01-11,Australia,Zimbabwe,Sydney Cricket Ground,Australia,bat,Australia
2011-08-19,Zimbabwe,Bangladesh,Queens Sports Club,Bangladesh,field,Bangladesh
2018-10-17,Sri Lanka,England,Pallekele International Cricket Stadium,England,field,England
2004-07-23,Bangladesh,Sri Lanka,R.Premadasa Stadium,Bangladesh,bat,Sri Lanka
2017-10-13,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Sri Lanka,field,Pakistan
2013-12-11,South Africa,India,SuperSport Park,South Africa,bat,No Result
2021-04-07,Australia,New Zealand,"Bay Oval, Mount Maunganui",New Zealand,field,Australia
2022-04-02,Australia,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,Pakistan
2022-03-31,England,South Africa,"Hagley Oval, Christchurch",South Africa,field,England
2021-01-20,South Africa,Pakistan,Kingsmead,Pakistan,field,South Africa
2009-10-31,India,Australia,Feroz Shah Kotla,Australia,bat,India
2016-11-19,Zimbabwe,West Indies,Queens Sports Club,Zimbabwe,bat,No Result
2022-03-22,Papua New Guinea,Nepal,Dubai International Cricket Stadium,Nepal,field,Nepal
2013-05-03,Zimbabwe,Bangladesh,Queens Sports Club,Zimbabwe,field,Bangladesh
2009-10-25,India,Australia,Reliance Stadium,Australia,bat,Australia
2010-02-05,New Zealand,Bangladesh,McLean Park,New Zealand,bat,New Zealand
2014-08-17,Zimbabwe,South Africa,Queens Sports Club,Zimbabwe,field,South Africa
2014-11-16,India,Sri Lanka,JSCA International Stadium Complex,Sri Lanka,bat,India
2014-01-19,Australia,England,Sydney Cricket Ground,England,bat,Australia
2007-08-24,England,India,County Ground,India,bat,India
2017-03-01,New Zealand,South Africa,Seddon Park,South Africa,bat,New Zealand
2017-07-02,England,Sri Lanka,County Ground,Sri Lanka,bat,England
2021-07-08,Pakistan,England,"Sophia Gardens, Cardiff",England,field,England
2023-12-18,New Zealand,Pakistan,"Hagley Oval, Christchurch",New Zealand,bat,No Result
2010-10-15,South Africa,Zimbabwe,OUTsurance Oval,South Africa,bat,South Africa
2021-09-16,England,New Zealand,"County Ground, Bristol",New Zealand,field,England
2024-12-05,India,Australia,"Allan Border Field, Brisbane",India,bat,Australia
2006-10-14,Sri Lanka,West Indies,Brabourne Stadium,West Indies,bat,Sri Lanka
2023-09-10,England,New Zealand,"The Rose Bowl, Southampton",New Zealand,field,England
2007-07-13,Netherlands,Scotland,"Civil Service Cricket Club, Stormont",Scotland,bat,No Result
2003-02-23,India,Namibia,"City Oval, Pietermaritzburg",Namibia,field,India
2007-01-21,Australia,New Zealand,Sydney Cricket Ground,New Zealand,bat,Australia
2014-09-10,Ireland,Scotland,"The Village, Malahide",Ireland,field,Ireland
2023-12-09,England,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,West Indies
2022-09-03,Australia,Zimbabwe,"Riverway Stadium, Townsville",Zimbabwe,field,Zimbabwe
2010-10-20,India,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,India
2024-12-08,South Africa,England,"Kingsmead, Durban",England,field,England
2006-08-18,Sri Lanka,India,Sinhalese Sports Club Ground,India,bat,No Result
2010-11-28,India,New Zealand,Nehru Stadium,New Zealand,field,India
2019-01-28,New Zealand,India,Bay Oval,New Zealand,bat,India
2006-10-11,Bangladesh,West Indies,Sawai Mansingh Stadium,Bangladesh,bat,West Indies
2006-11-27,Bermuda,Canada,Sedgars Park,Canada,field,Canada
2021-03-17,India,South Africa,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,South Africa,field,South Africa
2008-02-21,South Africa,Netherlands,Stellenbosch University 1,South Africa,bat,South Africa
2006-02-07,South Africa,Sri Lanka,Bellerive Oval,Sri Lanka,bat,Sri Lanka
2010-12-06,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,field,Bangladesh
2023-03-21,Zimbabwe,Netherlands,Harare Sports Club,Netherlands,field,Netherlands
2011-10-28,South Africa,Australia,Kingsmead,South Africa,bat,Australia
2020-03-03,Bangladesh,Zimbabwe,Sylhet International Cricket Stadium,Bangladesh,bat,Bangladesh
2015-01-11,New Zealand,Sri Lanka,Hagley Oval,Sri Lanka,bat,New Zealand
2010-11-08,Pakistan,South Africa,Dubai International Cricket Stadium,South Africa,bat,South Africa
2024-04-23,West Indies,Pakistan,"National Stadium, Karachi",West Indies,bat,West Indies
2017-06-17,Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place",Scotland,bat,Zimbabwe
2008-02-19,India,Sri Lanka,Adelaide Oval,Sri Lanka,bat,India
2017-09-24,England,West Indies,County Ground,West Indies,field,England
2005-10-07,Australia,ICC World XI,Docklands Stadium,Australia,bat,Australia
2014-08-23,England,India,North Marine Road Ground,India,field,England
2008-09-06,Australia,Bangladesh,Marrara Cricket Ground,Australia,bat,Australia
2008-04-08,Pakistan,Bangladesh,Gaddafi Stadium,Pakistan,bat,Pakistan
2017-12-13,India,Sri Lanka,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sri Lanka,field,India
2016-06-21,England,Sri Lanka,Trent Bridge,England,field,No Result
2018-12-11,Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",West Indies,field,West Indies
2003-02-19,England,Namibia,"St George's Park, Port Elizabeth",Namibia,field,England
2005-12-10,England,Pakistan,Gaddafi Stadium,England,bat,England
2023-06-22,United States of America,Netherlands,"Takashinga Sports Club, Highfield, Harare",Netherlands,field,Netherlands
2006-08-13,Kenya,Bangladesh,Gymkhana Club Ground,Kenya,bat,Bangladesh
2012-01-17,South Africa,Sri Lanka,Chevrolet Park,Sri Lanka,bat,South Africa
2013-02-13,England,New Zealand,Brabourne Stadium,England,bat,England
2007-03-18,Canada,England,"Beausejour Stadium, Gros Islet",Canada,field,England
2023-06-04,United Arab Emirates,West Indies,Sharjah Cricket Stadium,United Arab Emirates,bat,West Indies
2016-11-23,Sri Lanka,West Indies,Queens Sports Club,West Indies,field,Sri Lanka
2017-10-26,Australia,England,International Sports Stadium,England,field,Australia
2010-02-11,New Zealand,Bangladesh,AMI Stadium,New Zealand,field,New Zealand
2023-07-29,Ireland,Australia,"Castle Avenue, Dublin",Australia,field,Australia
2003-05-17,Australia,West Indies,"Sabina Park, Kingston, Jamaica",West Indies,field,Australia
2023-09-22,Australia,India,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",India,field,India
2009-01-31,Sri Lanka,India,R Premadasa Stadium,India,bat,India
2023-10-05,England,New Zealand,"Narendra Modi Stadium, Ahmedabad",New Zealand,field,New Zealand
2008-02-24,Australia,India,Sydney Cricket Ground,Australia,bat,Australia
2018-01-13,Ireland,United Arab Emirates,ICC Academy,Ireland,bat,Ireland
2012-02-28,India,Sri Lanka,Bellerive Oval,India,field,India
2003-01-11,Australia,England,"Bellerive Oval, Hobart",Australia,bat,Australia
2017-05-24,England,South Africa,Headingley,South Africa,field,England
2016-06-11,Australia,South Africa,"Warner Park, Basseterre",Australia,bat,Australia
2013-08-29,Canada,Netherlands,Maple Leaf North-West Ground,Netherlands,field,Netherlands
2007-02-06,England,New Zealand,"Brisbane Cricket Ground, Woolloongabba",England,bat,England
2008-04-16,Pakistan,Bangladesh,Multan Cricket Stadium,Bangladesh,bat,Pakistan
2019-06-15,Australia,Sri Lanka,Kennington Oval,Sri Lanka,field,Australia
2015-02-19,United Arab Emirates,Zimbabwe,Saxton Oval,Zimbabwe,field,Zimbabwe
2017-05-11,South Africa,Ireland,Senwes Park,South Africa,bat,South Africa
2006-11-30,Bermuda,Canada,Willowmoore Park,Canada,field,Canada
2017-07-12,Australia,India,County Ground,Australia,field,Australia
2006-05-20,West Indies,India,"Sabina Park, Kingston",India,field,West Indies
2016-06-29,England,Sri Lanka,Kennington Oval,England,field,England
2021-09-13,Zimbabwe,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Ireland,field,Ireland
2015-11-03,New Zealand,Sri Lanka,Bert Sutcliffe Oval,Sri Lanka,field,New Zealand
2012-02-12,Australia,India,Adelaide Oval,Australia,bat,India
2005-11-06,India,Sri Lanka,"Sardar Patel (Gujarat) Stadium, Motera",Sri Lanka,field,Sri Lanka
2019-05-05,Ireland,West Indies,Castle Avenue,Ireland,field,West Indies
2016-09-18,Sri Lanka,Australia,Rangiri Dambulla International Stadium,Sri Lanka,bat,Australia
2007-10-18,Pakistan,South Africa,Gaddafi Stadium,South Africa,bat,South Africa
2022-04-12,Papua New Guinea,Oman,Dubai International Cricket Stadium,Papua New Guinea,bat,Oman
2022-06-04,West Indies,Netherlands,"VRA Ground, Amstelveen",West Indies,bat,West Indies
2022-03-13,Australia,New Zealand,"Basin Reserve, Wellington",New Zealand,field,Australia
2013-06-11,India,West Indies,Kennington Oval,India,field,India
2015-07-10,Zimbabwe,India,Harare Sports Club,Zimbabwe,field,India
2019-06-05,India,South Africa,The Rose Bowl,South Africa,bat,India
2019-07-28,Sri Lanka,Bangladesh,"R.Premadasa Stadium, Khettarama",Bangladesh,bat,Sri Lanka
2006-02-11,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
2003-02-10,Sri Lanka,New Zealand,"Goodyear Park, Bloemfontein",New Zealand,field,Sri Lanka
2013-03-28,Sri Lanka,Bangladesh,Pallekele International Cricket Stadium,Sri Lanka,bat,Bangladesh
2019-08-11,West Indies,India,"Queen's Park Oval, Trinidad",India,bat,India
2017-02-21,India,South Africa,P Sara Oval,South Africa,bat,India
2013-01-23,Australia,Sri Lanka,Bellerive Oval,Sri Lanka,field,Australia
2023-07-04,Nepal,Ireland,"Takashinga Sports Club, Highfield, Harare",Ireland,field,Ireland
2007-09-29,India,Australia,M Chinnaswamy Stadium,Australia,bat,No Result
2009-09-06,England,Australia,Lord's,England,field,Australia
2018-09-11,Sri Lanka,India,Galle International Stadium,Sri Lanka,bat,India
2021-09-19,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,bat,No Result
2013-06-15,India,Pakistan,Edgbaston,India,field,India
2004-06-27,England,West Indies,Trent Bridge,West Indies,field,West Indies
2022-08-10,Scotland,United Arab Emirates,"Mannofield Park, Aberdeen",Scotland,bat,Scotland
2007-04-15,Bangladesh,Ireland,"Kensington Oval, Bridgetown",Ireland,bat,Ireland
2003-03-10,India,Sri Lanka,"New Wanderers Stadium, Johannesburg",Sri Lanka,field,India
2013-11-27,South Africa,Pakistan,St George's Park,South Africa,field,Pakistan
2015-03-19,Bangladesh,India,Melbourne Cricket Ground,India,bat,India
2007-03-20,Kenya,New Zealand,"Beausejour Stadium, Gros Islet",Kenya,field,New Zealand
2013-02-24,Sri Lanka,West Indies,Rangiri Dambulla International Stadium,West Indies,bat,Sri Lanka
2007-04-13,Australia,Ireland,"Kensington Oval, Bridgetown",Australia,field,Australia
2019-05-31,Pakistan,West Indies,Trent Bridge,West Indies,field,West Indies
2012-01-20,South Africa,Sri Lanka,De Beers Diamond Oval,South Africa,bat,Sri Lanka
2024-08-21,Netherlands,United States of America,"Hazelaarweg, Rotterdam",United States of America,field,Netherlands
2012-06-07,Sri Lanka,Pakistan,Pallekele International Cricket Stadium,Sri Lanka,bat,Pakistan
2018-03-21,West Indies,Scotland,Harare Sports Club,Scotland,field,West Indies
2023-12-28,India,Australia,"Wankhede Stadium, Mumbai",India,bat,Australia
2003-03-03,Sri Lanka,South Africa,"Kingsmead, Durban",Sri Lanka,bat,No Result
2017-05-24,Bangladesh,New Zealand,Clontarf Cricket Club Ground,Bangladesh,field,Bangladesh
2004-01-22,India,Australia,Sydney Cricket Ground,India,bat,Australia
2007-01-02,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
