MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2020-11-29,Australia,India,Sydney Cricket Ground,Australia,bat,Australia
2017-06-11,India,South Africa,Kennington Oval,India,field,India
2019-05-08,England,Pakistan,Kennington Oval,England,field,No Result
2009-09-23,Pakistan,West Indies,New Wanderers Stadium,West Indies,bat,Pakistan
2021-10-01,Papua New Guinea,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,bat,Oman
2018-01-16,Pakistan,New Zealand,Seddon Park,Pakistan,bat,New Zealand
2022-04-10,Scotland,Oman,Dubai International Cricket Stadium,Scotland,bat,Scotland
2004-09-03,England,India,Kennington Oval,India,field,England
2020-01-14,India,Australia,Wankhede Stadium,Australia,field,Australia
2013-03-11,Canada,Kenya,ICC Global Cricket Academy,Canada,bat,Kenya
2019-02-22,West Indies,England,"Kensington Oval, Barbados",England,field,West Indies
2023-06-25,Scotland,Oman,Bulawayo Athletic Club,Oman,field,Scotland
2019-12-12,United Arab Emirates,United States of America,ICC Academy,United Arab Emirates,field,United States of America
2024-04-18,West Indies,Pakistan,"National Stadium, Karachi",West Indies,bat,West Indies
2007-03-27,West Indies,Australia,"Sir Vivian Richards Stadium, North Sound",West Indies,field,Australia
2020-09-11,Australia,England,Old Trafford,England,field,Australia
2010-08-25,India,New Zealand,Rangiri Dambulla International Stadium,India,bat,India
2021-02-23,New Zealand,England,Hagley Oval,New Zealand,bat,England
2023-12-03,England,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",England,bat,West Indies
2003-03-03,Netherlands,Namibia,"Goodyear Park, Bloemfontein",Netherlands,bat,Netherlands
2015-06-12,England,New Zealand,Kennington Oval,New Zealand,bat,New Zealand
2011-11-20,Pakistan,Sri Lanka,Sharjah Cricket Stadium,Pakistan,bat,Pakistan
2017-06-30,Sri Lanka,Zimbabwe,Galle International Stadium,Sri Lanka,bat,Zimbabwe
2022-08-24,Ireland,Netherlands,"VRA Ground, Amstelveen",Netherlands,field,Ireland
2022-08-26,Netherlands,Ireland,"Sportpark Westvliet, The Hague",Netherlands,bat,Ireland
2013-01-03,India,Pakistan,Eden Gardens,India,field,Pakistan
2015-07-21,England,Australia,County Ground,Australia,bat,England
2006-04-26,Bangladesh,Australia,Narayanganj Osmani Stadium,Australia,bat,Australia
2008-06-26,Sri Lanka,United Arab Emirates,Gaddafi Stadium,Sri Lanka,bat,Sri Lanka
2023-06-21,Ireland,Scotland,"Queens Sports Club, Bulawayo",Scotland,field,Scotland
2017-01-22,India,England,Eden Gardens,India,field,England
2009-09-26,India,Pakistan,SuperSport Park,Pakistan,bat,Pakistan
2012-03-18,India,Pakistan,Shere Bangla National Stadium,Pakistan,bat,India
2023-06-30,New Zealand,Sri Lanka,Galle International Stadium,New Zealand,bat,New Zealand
2011-01-21,Australia,England,Bellerive Oval,England,field,Australia
2011-02-25,Australia,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",Australia,field,Australia
2023-12-23,New Zealand,Bangladesh,"McLean Park, Napier",Bangladesh,field,Bangladesh
2003-02-25,Pakistan,Netherlands,"Boland Bank Park, Paarl",Netherlands,field,Pakistan
2009-10-27,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,field,Zimbabwe
2005-05-22,Pakistan,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet",West Indies,field,Pakistan
2006-09-24,Australia,West Indies,Kinrara Academy Oval,Australia,bat,Australia
2024-08-13,United States of America,Canada,"Sportpark Westvliet, The Hague",Canada,field,United States of America
2015-06-20,England,New Zealand,Riverside Ground,England,field,England
2016-08-24,Sri Lanka,Australia,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka
2014-02-23,West Indies,Ireland,"Sabina Park, Kingston",Ireland,bat,West Indies
2009-09-14,Sri Lanka,India,R Premadasa Stadium,India,bat,India
2008-02-03,Australia,India,"Brisbane Cricket Ground, Woolloongabba",India,bat,No Result
2023-07-02,United Arab Emirates,Nepal,"Takashinga Sports Club, Highfield, Harare",Nepal,field,Nepal
2024-02-06,West Indies,Australia,"Manuka Oval, Canberra",Australia,field,Australia
2014-10-08,India,West Indies,Nehru Stadium,India,field,West Indies
2022-03-18,Bangladesh,South Africa,"SuperSport Park, Centurion",South Africa,field,Bangladesh
2011-03-03,Netherlands,South Africa,"Punjab Cricket Association Stadium, Mohali",Netherlands,field,South Africa
2021-03-09,South Africa,India,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,India,field,India
2009-07-03,West Indies,India,"Beausejour Stadium, Gros Islet",India,field,India
2019-09-23,Namibia,Papua New Guinea,Central Broward Regional Park Stadium Turf Ground,Namibia,bat,Namibia
2023-09-07,South Africa,Australia,"Mangaung Oval, Bloemfontein",Australia,field,Australia
2006-10-17,Pakistan,Sri Lanka,Sawai Mansingh Stadium,Sri Lanka,bat,Pakistan
2006-03-28,India,England,Feroz Shah Kotla,England,field,India
2023-09-09,Sri Lanka,England,"Riverside Ground, Chester-le-Street",England,field,England
2017-02-19,Ireland,South Africa,Colombo Cricket Club Ground,Ireland,bat,South Africa
2013-11-21,India,West Indies,Nehru Stadium,West Indies,bat,India
2024-03-13,Sri Lanka,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Sri Lanka,bat,Bangladesh
2017-07-15,England,West Indies,County Ground,West Indies,field,England
2012-02-06,New Zealand,Zimbabwe,Cobham Oval (New),Zimbabwe,field,New Zealand
2010-06-01,Zimbabwe,Sri Lanka,Queens Sports Club,Sri Lanka,field,Sri Lanka
2009-09-26,Australia,West Indies,New Wanderers Stadium,West Indies,field,Australia
2015-01-16,Australia,England,Sydney Cricket Ground,England,bat,Australia
2012-12-14,Australia,New Zealand,North Sydney Oval,Australia,field,Australia
2005-03-02,Zimbabwe,South Africa,St George's Park,Zimbabwe,bat,South Africa
2024-12-11,South Africa,England,"Senwes Park, Potchefstroom",England,field,England
2023-03-17,Australia,India,"Wankhede Stadium, Mumbai",India,field,India
2010-10-14,Bangladesh,New Zealand,Shere Bangla National Stadium,New Zealand,field,Bangladesh
2024-09-26,Oman,Canada,"Maple Leaf North-West Ground, King City",Canada,field,Canada
2010-02-12,Australia,West Indies,Sydney Cricket Ground,West Indies,field,No Result
2016-09-08,Scotland,Hong Kong,"Grange Cricket Club Ground, Raeburn Place",Hong Kong,field,No Result
2023-06-18,Nepal,Zimbabwe,Harare Sports Club,Zimbabwe,field,Zimbabwe
2017-07-15,India,New Zealand,County Ground,New Zealand,field,India
2007-03-17,Ireland,Pakistan,"Sabina Park, Kingston",Ireland,field,Ireland
2023-01-21,Ireland,Zimbabwe,Harare Sports Club,Zimbabwe,field,Ireland
2006-02-14,Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,Australia
2009-11-02,India,Australia,"Punjab Cricket Association Stadium, Mohali",India,field,Australia
2023-01-18,India,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",India,bat,India
2023-11-10,Pakistan,Bangladesh,"Shere Bangla National Stadium, Mirpur",Pakistan,bat,Bangladesh
2019-01-26,United Arab Emirates,Nepal,ICC Academy,Nepal,bat,Nepal
2023-06-27,Ireland,United Arab Emirates,Bulawayo Athletic Club,United Arab Emirates,field,Ireland
2011-10-20,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,bat,New Zealand
2023-05-05,Pakistan,New Zealand,"National Stadium, Karachi",New Zealand,field,Pakistan
2007-02-02,Australia,England,Sydney Cricket Ground,England,bat,England
2003-01-13,Sri Lanka,England,Sydney Cricket Ground,Sri Lanka,bat,Sri Lanka
2005-07-12,England,Australia,Kennington Oval,Australia,field,Australia
2011-05-05,West Indies,Pakistan,Providence Stadium,Pakistan,bat,West Indies
2021-09-02,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat,Sri Lanka
2018-03-03,England,New Zealand,Westpac Stadium,New Zealand,field,England
2017-01-20,Bangladesh,South Africa,Sheikh Kamal International Cricket Stadium,Bangladesh,bat,South Africa
2015-06-21,Bangladesh,India,Shere Bangla National Stadium,India,bat,Bangladesh
2019-08-18,Scotland,Oman,Mannofield Park,Oman,field,Scotland
2008-06-24,Bangladesh,United Arab Emirates,Gaddafi Stadium,Bangladesh,bat,Bangladesh
